(TEST) Speed Godzilla Jakarta;ada
7 Days Premium Jatinegara;ada
A One Hotel Jakarta;ada
Aleander Hotel Jakarta;ada
Alia Cikini Hotel;ada
Alia Matraman Hotel;ada
Alia Pasar Baru Hotel;ada
ALILA Jakarta;ada
Alila SCBD Jakarta;ada
All Nite and Day Residence Kebon Jeruk;ada
All Season Thamrin;ada
All Seasons Jakarta Gajah Mada;ada
All Sedayu Kelapa Gading Hotel;ada
Allson Residence;ada
Aloft Jakarta Wahid Hasyim;ada
Alpine Hotel Jakarta;ada
Amaris Bandara;ada
Amaris Grogol;ada
Amaris Hotel Fachrudin;ada
Amaris Hotel La Codefin Kemang;ada
Amaris Hotel Mampang;ada
Amaris Hotel Panglima Polim;ada
Amaris Hotel Pluit;ada
Amaris Hotel Senen;ada
Amaris Juanda;ada
Amaris Mangga Besar;ada
Amaris Mangga Dua Square;ada
Amaris Pancoran;ada
Amaris Panglima Polim 2;ada
Amaris Pasar Baru;ada
Amaris Satrio Kuningan;ada
Amaris Season City;ada
Amaris Tebet;ada
Amaris Tendean;ada
Amaris Thamrin City;ada
Amaroossa Cosmo Jakarta;ada
Amazing Kutaradja Hotel;ada
Ambhara Hotel;ada
Amos Cozy Hotel;ada
Ampera Avenue Residence;ada
Ana Hotel Jakarta;ada
Antoni Hotel;ada
Anugrah Transit Hotel;ada
Apple Platinum Hotel;ada
Arcadia Horison Mangga Dua;ada
Arimbi Pejaten Suites;ada
Arion Swiss-Belhotel Kemang;ada
Arnava Hotel Senen;ada
Arnava Hotel Senen;ada
Arosa Jakarta;ada
Arthama Hotel Wahid Hasyim Jakarta;ada
ARTOTEL Casa Hangtuah;ada
Artotel Suites Mangkuluhur;ada
Artotel Thamrin;ada
Artotel Wahid Hasyim;ada
Asana Kawanua Jakarta formerly Aerotel Kawanua Jakarta;ada
Ascott Kuningan Jakarta;ada
Ascott Sudirman Jakarta;ada
ASHLEY HOTEL;ada
Ashley Sabang;ada
Aston At Kuningan Suites;ada
Aston Cengkareng Hotel;ada
Aston Kartika Grogol and Conference Center;ada
ASTON Kemayoran City Hotel;ada
Aston Marina Hotel & Residence;ada
Aston Pluit Hotel and Residence;ada
Aston Priority Simatupang Hotel and Conference Center;ada
Aston Rasuna;ada
ATA Hotel Kedoya;ada
Atlantic Hotel;ada
Avissa Suites;ada
Ayaka Suites;ada
Ayer Resort and Cottages;ada
Azana Suite Hotel Antasari;ada
B Fashion Hotel;ada
Bamboo Inn Hotel & Cafe;ada
Banian Boulevard;ada
Banyuwangi Sintera Hotel;ada
Batavia Apartment (Apartment);ada
Belvena Mangga Besar V;ada
Best Western Mangga Dua Hotel & Residence;ada
Best Western Plus Kemayoran Hotel;ada
Best Western Premier The Hive;ada
Best Western Senayan;ada
Bestinn;ada
BIG Hotel (Serela Kartini);ada
Bintang Griyawisata;ada
Blessing Residence;ada
Blue Sky Hotel Petamburan;ada
Blue Sky Pandurata Boutique Hotel;ada
Borobudur Jakarta;ada
Bumi Karsa Bidakara;ada
Bunga-Bunga Hotel Jakarta;ada
Business Hotel Tomang;ada
C one Cempaka Putih;ada
C'ONE Hotel Plaza;ada
Cabin Hotel Jakarta;ada
Casa Living Setiabudi;ada
Cemara Wahid Hasyim;ada
Centro City Service Apartment;ada
Century Park Hotel;ada
Cheers Residental Graha RSPP;ada
Chic Quarter Urban Resort;ada
Cilandak Mansion;ada
Cipta Hotel Jakarta;ada
Cipta Hotel Mampang;ada
Cipta Hotel Pancoran Jakarta;ada
Ciputra Jakarta;ada
Citadines Rasuna Jakarta;ada
Citi M Hotel;ada
City Icon Residence;ada
Classic Hotel;ada
Clay Smart Boutique Hotel;ada
CORDELA HOTEL SENEN JAKARTA;ada
CORDELA NORWOOD HOTEL;ada
Cordex Lodan Ancol;ada
Couleur Hotel Cengkareng;ada
Countrywoods Residences;ada
Crowne Plaza Jakarta;ada
D Arcici Hotel Cempaka Putih;ada
D Arcici Hotel Sunter;ada
D Arcici Plumpang;ada
D cozie Hotel by Prasanthi;ada
D Hotel Jakarta;ada
D Primahotel ITC Mangga Dua;ada
d Primahotel WTC Mangga Dua;ada
d'primahotel Melawai;ada
d'Primahotel WTC Mangga Dua;ada
Dafam Express Jaksa Jakarta;ada
Daily Inn Hotel;ada
De Green Inn;ada
De Rivier Hotel;ada
Dharmein Blok M;ada
Diradja Hotel;ada
Discovery Hotel & Convention Ancol;ada
DoubleTree by Hilton Jakarta;ada
Dragon Inn Kemayoran;ada
Dreamtel Jakarta Hotel;ada
Dwijaya House;ada
Eightin Jakarta;ada
éL Royale Hotel Jakarta;ada
Elliottii Residence Alam Asri;ada
Erian Jakarta Wahid Hasyim;ada
Everyday Smart Hotel Jakarta Mayestik;ada
Everyday Smart Hotel Mangga Besar;ada
F Hotel Jakarta;ada
Fairmont Jakarta;ada
Favehotel Gatot Subroto;ada
Favehotel Kelapa Gading;ada
Favehotel LTC Glodok;ada
Favehotel Melawai;ada
Favehotel Pasar Baru;ada
Favehotel PGC Cililitan Jakarta;ada
Favehotel Pluit Junction;ada
Favehotel Puri Indah;ada
Favehotel Tanah Abang - Cideng;ada
Favehotel Zainul Arifin;ada
Feodora Hotel Jakarta;ada
Feodora Mangga Besar IV;ada
Fits Hotel;ada
FLAT06 Bed & Breakfast Hotel;ada
FLAT06. Tendean;ada
Fontana Hotel Jakarta;ada
Formule 1 Cikini;ada
Four Points by Sheraton Jakarta Thamrin;ada
Four Seasons Gatot Subroto;ada
Fraser Residence Menteng Jakarta;ada
Fraser Residence Sudirman;ada
Front One Boutique Hotel Taman Anggrek;ada
Fuxion Inn;ada
G7 Hotel;ada
G7 Hotel;ada
Gading Indah Hotel;ada
Golden Boutique Hotel - Angkasa;ada
Golden Boutique Melawai;ada
Golden Sky;ada
Golden Tulip Essential Tangerang;ada
Golden Tulip Passer Baroe;ada
Goodrich Suites Kemang by ARTOTEL;ada
GP Mega Kuningan;ada
Gran Melia Jakarta;ada
Grand Asia Jakarta;ada
Grand Batik Inn;ada
Grand Cemara;ada
Grand Cempaka Hotel Jakarta;ada
Grand Dafam Ancol;ada
Grand G7 Hotel Pasar Baru;ada
Grand Hyatt Jakarta;ada
Grand Kasira by LARIZ;ada
Grand Kemang;ada
Grand Menteng;ada
Grand Mercure Jakarta Harmony;ada
Grand Mercure Jakarta Kemayoran;ada
Grand Orchardz Kemayoran;ada
Grand Paragon Hotel Jakarta;ada
Grand Picasso Hotel;ada
Grand Sahid Jaya;ada
Grand Tjokro Jakarta;ada
Grand Tropic Suites;ada
Grand Whiz Poins Square Simatupang;ada
GranDhika Iskandarsyah Jakarta;ada
Gren Alia Cikini Jakarta;ada
Gren Alia Prapatan;ada
Griya Amartha;ada
Griya Patria Guesthouse;ada
